Price,Model,Specs
"NPR81,000.00",MSI Modern 15 A4SX Ryzen 5 4500U,"AMD Radeon Graphics/8GB RAM/512GB SSD/15.6"" FHD Display"
"NPR85,000.00",MSI Modern 15 A5M Ryzen 5 5500U,"AMD Radeon Graphics/8GB RAM/256GB SSD/15.6"" FHD Display"
"NPR95,000.00",MSI Modern 14 C12M 2022 i5 12TH GEN,"512GB SSD/8GB RAM/14"" FHD/2 Year Warranty"
"NPR99,000.00",MSI Modern 14 B4MW Ryzen 7 4700U,"8GB RAM/256GB SSD/14"" FHD Display"
"NPR99,000.00",MSI GF63 9SCSR i5 9TH GEN,"8GB RAM/256GB SSD/GTX 1650TI/15.6"" FHD 144Hz"
"NPR105,000.00",MSI GF63 Thin 10SC i5 10TH GEN,"GTX 1650/8GB RAM/256GB SSD/15.6"" FHD Display/Backlight Keyboard"
"NPR115,000.00",MSI Thin GF63 12HW i5 12th Gen,"Intel Arc A370M 4GB DDR6/8GB RAM/512GB SSD/15.6"" 144Hz FHD Display/Backlight Keyboard"
"NPR115,000.00",MSI Modern 15 B13M 2023 i5 13TH GEN,"512GB SSD/8GB RAM/15.6"" FHD/2 Year Warranty"
"NPR115,000.00",MSI Summit B15 A11M  i5 11th Gen,"8GB RAM/Iris Xe/512GB SSD/15.6"" FHD Display"
"NPR120,000.00",MSI Modern 15 A11SB i5 11th Gen,"GeForce MX450/8GB RAM/512GB SSD/15.6"" FHD"
